player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
PROFEK,VIT,3,3,0,0,0,1,0,0,0,50,5,1,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Jamppi,VIT,5,2,1,0,2,0,0,0,0,52,8,0,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Sayonara,VIT,15,2,1,0,0,0,0,0,0,68,0,0,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
SUYGETSU,KC,3,1,0,0,0,1,0,0,0,41,0,2,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Avez,KC,3,2,0,0,0,0,0,0,0,45,8,0,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
dos9,KC,2,4,0,0,1,1,1,0,0,51,2,0,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
LewN,KC,4,3,0,0,1,0,1,0,0,47,0,2,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
N4RRATE,KC,4,2,0,0,0,0,0,0,0,54,1,1,all,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Chronicle,VIT,2,0,0,0,0,0,0,0,0,42,1,2,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Derke,VIT,4,1,0,0,0,0,0,0,0,68,0,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
PROFEK,VIT,1,2,0,0,0,1,0,0,0,50,4,1,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Jamppi,VIT,3,0,1,0,2,0,0,0,0,74,4,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Sayonara,VIT,7,0,1,0,0,0,0,0,0,47,0,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
SUYGETSU,KC,2,0,0,0,0,0,0,0,0,38,0,1,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Avez,KC,2,2,0,0,0,0,0,0,0,56,4,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
dos9,KC,1,3,0,0,0,0,1,0,0,56,1,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
LewN,KC,2,1,0,0,1,0,0,0,0,34,0,1,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
N4RRATE,KC,2,1,0,0,0,0,0,0,0,50,1,0,Haven,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Chronicle,VIT,4,0,0,0,0,0,0,0,0,63,0,1,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Derke,VIT,4,1,0,0,0,0,0,0,0,66,3,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
PROFEK,VIT,2,1,0,0,0,0,0,0,0,49,1,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
Jamppi,VIT,2,2,0,0,0,0,0,0,0,30,4,0,Lotus,2026-07-02 11:00:00,https://www.vlr.gg/706759/team-vitality-vs-karmine-corp-esports-world-cup-2026-opening-b,Esports World Cup 2026
