player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
ComeBack,TH,2,1,0,0,0,0,0,0,0,50,0,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Shao,NAVI,0,0,0,0,0,0,0,0,0,34,1,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Filu,NAVI,1,1,0,0,0,0,0,0,0,84,1,1,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
sociablEE,NAVI,4,0,0,0,0,0,0,0,0,72,4,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Ruxic,NAVI,3,1,0,0,1,0,0,0,0,48,0,0,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
hiro,NAVI,4,2,0,0,1,0,0,0,0,77,0,2,Split,2026-01-22 11:00:00,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Cloud,GX,4,1,0,0,0,0,0,0,0,39,10,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
grubinho,GX,3,2,2,0,0,0,0,0,0,52,3,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Flickless,GX,5,3,0,0,0,1,0,0,0,62,0,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
ara,GX,6,0,0,0,1,0,0,0,0,34,4,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
westside,GX,2,3,0,0,0,1,0,0,0,42,4,1,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
starxo,M8,7,2,0,1,0,0,0,0,0,64,4,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
GLYPH,M8,7,0,0,0,0,1,0,0,0,50,9,2,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
marteen,M8,5,0,0,1,0,0,0,0,0,41,2,1,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
bipo,M8,5,2,0,0,0,0,0,0,0,49,1,0,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Minny,M8,11,1,0,0,0,1,0,0,0,67,3,4,all,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Cloud,GX,2,0,0,0,0,0,0,0,0,40,5,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
grubinho,GX,2,0,2,0,0,0,0,0,0,59,2,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Flickless,GX,2,1,0,0,0,0,0,0,0,47,0,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
ara,GX,2,0,0,0,0,0,0,0,0,29,2,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
westside,GX,2,1,0,0,0,1,0,0,0,43,1,1,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
starxo,M8,4,1,0,0,0,0,0,0,0,67,2,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
GLYPH,M8,4,0,0,0,0,0,0,0,0,46,6,2,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
marteen,M8,2,0,0,0,0,0,0,0,0,39,0,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
bipo,M8,4,1,0,0,0,0,0,0,0,62,0,0,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Minny,M8,4,0,0,0,0,0,0,0,0,65,0,3,Pearl,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Cloud,GX,2,1,0,0,0,0,0,0,0,37,5,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
grubinho,GX,1,2,0,0,0,0,0,0,0,45,1,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Flickless,GX,3,2,0,0,0,1,0,0,0,77,0,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
ara,GX,4,0,0,0,1,0,0,0,0,38,2,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
westside,GX,0,2,0,0,0,0,0,0,0,41,3,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
starxo,M8,3,1,0,1,0,0,0,0,0,61,2,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
GLYPH,M8,3,0,0,0,0,1,0,0,0,54,3,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
marteen,M8,3,0,0,1,0,0,0,0,0,43,2,1,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
bipo,M8,1,1,0,0,0,0,0,0,0,35,1,0,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Minny,M8,7,1,0,0,0,1,0,0,0,68,3,1,Bind,2026-01-22 14:30:00,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
crashies,FNC,5,4,0,0,1,1,0,0,0,57,4,1,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Boaster,FNC,3,0,1,0,1,0,0,0,0,37,4,0,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kaajak,FNC,6,1,1,0,0,0,0,0,0,44,0,2,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Alfajer,FNC,3,2,0,0,1,0,0,0,0,38,4,2,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Veqaj,FNC,6,1,0,1,0,1,0,0,0,57,2,0,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Rosé,BBL,0,0,0,0,1,1,0,0,0,41,8,1,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Crewen,BBL,5,2,0,0,1,0,0,0,0,49,3,1,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Loita,BBL,5,0,0,0,1,0,0,0,0,45,1,3,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Lar0k,BBL,15,3,0,0,0,0,0,0,0,85,1,1,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
lovers,rock,6,1,1,0,0,1,0,0,0,45,0,1,all,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
crashies,FNC,3,3,0,0,1,0,0,0,0,56,1,1,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Boaster,FNC,3,0,0,0,1,0,0,0,0,33,1,0,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kaajak,FNC,5,1,1,0,0,0,0,0,0,53,0,2,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Alfajer,FNC,3,2,0,0,1,0,0,0,0,48,2,2,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Veqaj,FNC,2,1,0,0,0,0,0,0,0,41,1,0,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Rosé,BBL,0,0,0,0,1,0,0,0,0,34,6,0,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Crewen,BBL,3,2,0,0,1,0,0,0,0,59,2,1,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Loita,BBL,4,0,0,0,0,0,0,0,0,44,0,1,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Lar0k,BBL,6,2,0,0,0,0,0,0,0,77,0,0,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
lovers,rock,3,1,0,0,0,0,0,0,0,34,0,1,Breeze,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
crashies,FNC,2,1,0,0,0,1,0,0,0,58,3,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Boaster,FNC,0,0,1,0,0,0,0,0,0,41,3,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kaajak,FNC,1,0,0,0,0,0,0,0,0,35,0,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Alfajer,FNC,0,0,0,0,0,0,0,0,0,27,2,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Veqaj,FNC,4,0,0,1,0,1,0,0,0,73,1,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Rosé,BBL,0,0,0,0,0,1,0,0,0,48,2,1,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Crewen,BBL,2,0,0,0,0,0,0,0,0,38,1,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Loita,BBL,1,0,0,0,1,0,0,0,0,45,1,2,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Lar0k,BBL,9,1,0,0,0,0,0,0,0,92,1,1,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
lovers,rock,3,0,1,0,0,1,0,0,0,56,0,0,Haven,2026-01-23 11:00:00,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
nAts,TL,12,2,1,0,0,0,0,0,0,52,4,1,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
purp0,TL,8,2,1,0,0,0,0,0,0,44,0,0,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Kicks,TL,6,2,0,0,2,0,0,0,0,49,5,2,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kamo,TL,8,4,1,0,0,0,0,0,0,50,12,1,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
MiniBoo,TL,10,3,0,0,0,0,0,0,0,48,2,1,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Chronicle,VIT,5,3,1,0,0,0,0,0,0,53,3,1,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
UNFAKE,VIT,6,2,0,0,1,0,0,0,0,50,9,2,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Derke,VIT,10,3,2,0,0,0,0,0,0,54,3,0,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
PROFEK,VIT,8,3,2,0,1,1,0,0,0,45,4,0,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Jamppi,VIT,13,0,0,0,2,1,0,0,0,45,6,3,all,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
nAts,TL,3,2,1,0,0,0,0,0,0,61,2,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
purp0,TL,3,0,1,0,0,0,0,0,0,40,0,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Kicks,TL,1,0,0,0,2,0,0,0,0,46,2,1,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kamo,TL,1,1,0,0,0,0,0,0,0,44,2,1,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
MiniBoo,TL,2,1,0,0,0,0,0,0,0,39,1,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Chronicle,VIT,2,0,0,0,0,0,0,0,0,36,0,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
UNFAKE,VIT,1,2,0,0,0,0,0,0,0,59,3,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Derke,VIT,6,2,0,0,0,0,0,0,0,74,1,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
PROFEK,VIT,2,1,0,0,0,0,0,0,0,42,3,0,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Jamppi,VIT,5,0,0,0,0,1,0,0,0,44,2,1,Breeze,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
nAts,TL,5,0,0,0,0,0,0,0,0,57,1,1,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
purp0,TL,3,1,0,0,0,0,0,0,0,43,0,0,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Kicks,TL,2,2,0,0,0,0,0,0,0,50,1,0,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
kamo,TL,5,2,1,0,0,0,0,0,0,78,6,0,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
MiniBoo,TL,3,0,0,0,0,0,0,0,0,43,1,1,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
Chronicle,VIT,2,1,0,0,0,0,0,0,0,48,3,1,Pearl,2026-01-23 13:25:00,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2,VCT 2026: EMEA Kickoff
