team,player,agent,ratingBoth,ratingT,rating-ct,acsBoth,acsT,acsCT,killsBoth,killsT,killsCT,deadBoth,deadT,deadCT,assistsBoth,assistsT,assistsCT,k-dBoth,k-dT,k-dCT,kastBoth,kastT,kastCT,adrBoth,adrT,adrCT,hsBoth,hsT,hsCT,fkBoth,fkT,fkCT,fdBoth,fdT,fdCT,fk-fdBoth,fk-fdT,fk-fdCT,map,map_id_vlr,map_duration,date,source_url,event
TL,nAts,Cypher,0.92,0.55,1.32,159.0,127.0,196.0,14.0,5.0,9.0,16.0,10.0,6.0,2.0,2.0,0.0,-2.0,-5.0,3.0,0.61,0.42,0.82,106.0,97.0,117.0,0.25,0.54,0.13,0.0,0.0,0.0,4.0,4.0,0.0,-4.0,-4.0,0.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,kamo,Raze,0.75,0.77,0.74,227.0,236.0,219.0,18.0,9.0,9.0,21.0,12.0,9.0,2.0,2.0,0.0,-3.0,-3.0,0.0,0.65,0.58,0.73,148.0,166.0,129.0,0.19,0.29,0.1,5.0,2.0,3.0,5.0,4.0,1.0,0.0,-2.0,2.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TL,Kicks,Omen,0.63,0.69,0.57,117.0,140.0,93.0,7.0,4.0,3.0,18.0,10.0,8.0,14.0,8.0,6.0,-11.0,-6.0,-5.0,0.57,0.67,0.45,73.0,83.0,63.0,0.18,0.16,0.2,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,-1.0,0.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,d4v41,Vyse,1.4,1.19,1.6,277.0,277.0,277.0,25.0,11.0,14.0,12.0,7.0,5.0,1.0,1.0,0.0,13.0,4.0,9.0,0.78,0.73,0.83,170.0,163.0,177.0,0.36,0.36,0.36,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,something,Yoru,1.29,1.36,1.22,225.0,255.0,198.0,20.0,11.0,9.0,12.0,6.0,6.0,3.0,1.0,2.0,8.0,5.0,3.0,0.78,0.82,0.75,140.0,153.0,129.0,0.34,0.45,0.25,1.0,0.0,1.0,3.0,2.0,1.0,-2.0,-2.0,0.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,invy,Fade,1.18,0.7,1.62,248.0,124.0,364.0,19.0,4.0,15.0,16.0,8.0,8.0,11.0,4.0,7.0,3.0,-4.0,7.0,0.78,0.73,0.83,154.0,83.0,220.0,0.32,0.25,0.33,4.0,0.0,4.0,1.0,1.0,0.0,3.0,-1.0,4.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,f0rsakeN,Omen,1.03,0.88,1.18,169.0,155.0,184.0,15.0,6.0,9.0,14.0,7.0,7.0,5.0,2.0,3.0,1.0,-1.0,2.0,0.87,0.82,0.92,132.0,116.0,147.0,0.34,0.5,0.27,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
PRX,Jinggg,Raze,0.5,0.54,0.46,155.0,154.0,158.0,10.0,4.0,6.0,20.0,9.0,11.0,6.0,3.0,3.0,-10.0,-5.0,-5.0,0.74,0.82,0.67,109.0,108.0,109.0,0.15,0.13,0.17,5.0,2.0,3.0,4.0,3.0,1.0,1.0,-1.0,2.0,Lotus,283186,59:44,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
TYL,SiuFatBB,Fade,1.01,1.01,1.02,161.0,136.0,206.0,13.0,8.0,5.0,12.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.63,0.58,0.71,101.0,75.0,145.0,0.27,0.32,0.22,2.0,2.0,0.0,3.0,2.0,1.0,-1.0,0.0,-1.0,Lotus,283181,46:28,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
TYL,slowly,Chamber,0.89,0.87,0.92,193.0,184.0,209.0,13.0,8.0,5.0,14.0,8.0,6.0,2.0,2.0,0.0,-1.0,0.0,-1.0,0.68,0.75,0.57,122.0,125.0,118.0,0.25,0.33,0.11,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,Lotus,283181,46:28,2026-09-24 08:25:00,https://www.vlr.gg/753454/tyloo-vs-g2-esports-valorant-champions-2026-opening-c,Valorant Champions 2026
